filename,MechanicalManual|TechnicalManual,description
Cartridge/Examples/CBSDemo/Firmware/Assembly/maxx_demo_ROM_532.dsm,TechnicalManual,Annotated factory CBS demo cartridge ROM disassembly
Cartridge/Examples/CBSDemo/Firmware/Binary/CBSDemo.532,TechnicalManual,4 KB cartridge EPROM image at $A000 (CBSDemo)
Cartridge/Examples/CBSDemo/KiCAD/CBSDemo-schematic.pdf,TechnicalManual,CBSDemo cartridge KiCad schematic export
Cartridge/Examples/CBSDemo/KiCAD/reference/crop-edge_connector.png,TechnicalManual,Cartridge PCB reference crop for KiCad RE — crop-edge_connector.png
Cartridge/Examples/CBSDemo/KiCAD/reference/crop-u1_eprom.png,TechnicalManual,Cartridge PCB reference crop for KiCad RE — crop-u1_eprom.png
Cartridge/Examples/CBSDemo/KiCAD/reference/crop-u2_logic.png,TechnicalManual,Cartridge PCB reference crop for KiCad RE — crop-u2_logic.png
Cartridge/Examples/CBSDemo/KiCAD/reference/crop-u3_center.png,TechnicalManual,Cartridge PCB reference crop for KiCad RE — crop-u3_center.png
Cartridge/Examples/CBSDemo/KiCAD/reference/maxxcard-annotated.png,TechnicalManual,Cartridge PCB reference crop for KiCad RE — maxxcard-annotated.png
Cartridge/Examples/CBSDemo/KiCAD/reference/maxxcard-enhanced.png,TechnicalManual,Cartridge PCB reference crop for KiCad RE — maxxcard-enhanced.png
Cartridge/Examples/UltraMaxx/Firmware/Assembly/ultramaxx_ROM_532.dsm,TechnicalManual,Annotated UltraMaxx cartridge ROM disassembly (CBSDemo fork)
Cartridge/Examples/UltraMaxx/Firmware/Binary/cross_street.532,TechnicalManual,4 KB cartridge EPROM image at $A000 (cross_street)
Cartridge/Examples/UltraMaxx/Firmware/Binary/hello.532,TechnicalManual,4 KB cartridge EPROM image at $A000 (hello)
Cartridge/Examples/UltraMaxx/Firmware/Binary/UltraMaxx.532,TechnicalManual,4 KB cartridge EPROM image at $A000 (UltraMaxx)
Cartridge/Examples/UltraMaxx/Firmware/Binary/UltraMaxx.bas.532,TechnicalManual,4 KB cartridge EPROM image at $A000 (UltraMaxx.bas)
